Update,Total Number of Messages Sent,Self IDs,Real IDs,Highest IDs
0,0,0,0,0
100,111090,910,110950,490
200,232190,1820,232050,910
300,368916,2414,368774,1491
400,511344,3456,511200,2016
500,653112,4176,652968,2736
600,816797,5037,816651,3796
700,1.01E+06,5994,1.01E+06,4662
800,1.21E+06,7104,1.21E+06,5402
900,1.45E+06,8732,1.45E+06,6068
1000,1.70E+06,10064,1.70E+06,6882
1100,1.97E+06,11322,1.97E+06,8140
1200,2.27E+06,12525,2.27E+06,9675
1300,2.60E+06,14592,2.60E+06,11704
1400,2.94E+06,16324,2.94E+06,12551
1500,3.30E+06,17862,3.30E+06,15210
1600,3.73E+06,20224,3.73E+06,17222
1700,4.14E+06,22357,4.14E+06,19434
1800,4.68E+06,24880,4.68E+06,22080
1900,5.14E+06,26560,5.14E+06,24000
2000,5.66E+06,29241,5.66E+06,26892
2100,6.14E+06,31671,6.14E+06,28917
2200,6.61E+06,34101,6.61E+06,30618
2300,7.24E+06,37392,7.24E+06,34194
2400,7.93E+06,41583,7.93E+06,37848
2500,8.61E+06,44604,8.61E+06,41664
2600,9.32E+06,47770,9.32E+06,45475
2700,1.01E+07,51944,1.01E+07,48848
2800,1.10E+07,55616,1.10E+07,52184
2900,1.18E+07,59630,1.18E+07,56337
3000,1.26E+07,63546,1.26E+07,60075
3100,1.36E+07,68040,1.36E+07,64260
3200,1.47E+07,72527,1.47E+07,69251
3300,1.56E+07,76167,1.56E+07,72982
3400,1.69E+07,81840,1.69E+07,79422
3500,1.80E+07,86025,1.80E+07,84816
3600,1.90E+07,90768,1.90E+07,89187
3700,2.01E+07,95325,2.01E+07,94116
3800,2.18E+07,103550,2.18E+07,101175
3900,2.34E+07,110688,2.34E+07,108288
4000,2.49E+07,116832,2.49E+07,115104
4100,2.64E+07,123936,2.64E+07,122784
4200,2.83E+07,132890,2.83E+07,132017
4300,3.06E+07,144060,3.06E+07,141120
4400,3.26E+07,151998,3.26E+07,151410
4500,3.49E+07,161667,3.49E+07,161370
4600,3.72E+07,172161,3.72E+07,172260
4700,3.97E+07,184338,3.97E+07,182754
4800,4.24E+07,196713,4.24E+07,196515
4900,4.49E+07,207999,4.49E+07,207405
5000,4.75E+07,220671,4.75E+07,219483
5100,5.02E+07,232452,5.02E+07,229680
5200,5.30E+07,247302,5.30E+07,243144
5300,5.60E+07,262350,5.60E+07,257895
5400,6.00E+07,283200,6.00E+07,276500
5500,6.35E+07,300800,6.35E+07,292600
5600,6.71E+07,317000,6.71E+07,312100
5700,7.03E+07,332300,7.03E+07,326900
5800,7.42E+07,351500,7.42E+07,346400
5900,7.93E+07,376600,7.93E+07,372400
6000,8.45E+07,400400,8.45E+07,398500
6100,8.96E+07,427100,8.96E+07,422100
6200,9.49E+07,452300,9.49E+07,449400
6300,1.01E+08,481700,1.01E+08,476200
6400,1.06E+08,506800,1.06E+08,500200
6500,1.10E+08,528900,1.10E+08,523000
6600,1.16E+08,553300,1.16E+08,550600
6700,1.21E+08,577400,1.21E+08,578200
6800,1.26E+08,605200,1.26E+08,601800
6900,1.32E+08,633500,1.32E+08,627300
7000,1.36E+08,656100,1.36E+08,649700
7100,1.41E+08,676000,1.41E+08,670100
7200,1.45E+08,693100,1.45E+08,692100
7300,1.50E+08,703700,1.50E+08,712600
7400,1.54E+08,715600,1.54E+08,736400
7500,1.60E+08,726600,1.60E+08,767200
7600,1.66E+08,735200,1.66E+08,797500
7700,1.72E+08,741900,1.72E+08,830200
7800,1.79E+08,745400,1.79E+08,862600
7900,1.86E+08,746000,1.86E+08,895700
8000,1.93E+08,747300,1.93E+08,927300
8100,1.99E+08,748500,1.99E+08,962600
8200,2.07E+08,748700,2.07E+08,1.00E+06
8300,2.15E+08,748900,2.15E+08,1.04E+06
8400,2.22E+08,748900,2.22E+08,1.08E+06
8500,2.29E+08,748900,2.29E+08,1.11E+06
8600,2.36E+08,748900,2.36E+08,1.15E+06
8700,2.42E+08,748900,2.42E+08,1.18E+06
8800,2.48E+08,748900,2.48E+08,1.21E+06
8900,2.54E+08,748900,2.54E+08,1.24E+06
9000,2.61E+08,748900,2.61E+08,1.28E+06
9100,2.68E+08,748900,2.68E+08,1.30E+06
9200,2.74E+08,748900,2.74E+08,1.33E+06
9300,2.80E+08,748900,2.80E+08,1.37E+06
9400,2.87E+08,748900,2.87E+08,1.40E+06
9500,2.93E+08,748900,2.93E+08,1.43E+06
9600,3.00E+08,748900,3.00E+08,1.46E+06
9700,3.07E+08,748900,3.07E+08,1.50E+06
9800,3.14E+08,748900,3.14E+08,1.53E+06
9900,3.22E+08,748900,3.22E+08,1.57E+06
10000,3.29E+08,748900,3.29E+08,1.61E+06
10100,3.35E+08,748900,3.35E+08,1.64E+06
10200,3.41E+08,748900,3.41E+08,1.67E+06
10300,3.46E+08,748900,3.46E+08,1.70E+06
10400,3.52E+08,748900,3.52E+08,1.72E+06
10500,3.57E+08,748900,3.57E+08,1.75E+06
10600,3.62E+08,748900,3.62E+08,1.77E+06
10700,3.67E+08,748900,3.67E+08,1.79E+06
10800,3.72E+08,748900,3.72E+08,1.82E+06
10900,3.77E+08,748900,3.77E+08,1.84E+06
11000,3.82E+08,748900,3.82E+08,1.87E+06
11100,3.87E+08,748900,3.87E+08,1.89E+06
11200,3.92E+08,748900,3.92E+08,1.92E+06
11300,3.98E+08,748900,3.98E+08,1.94E+06
11400,4.04E+08,748900,4.04E+08,1.97E+06
11500,4.10E+08,748900,4.10E+08,2.00E+06
11600,4.16E+08,748900,4.16E+08,2.03E+06
11700,4.22E+08,748900,4.22E+08,2.06E+06
11800,4.28E+08,748900,4.28E+08,2.09E+06
11900,4.34E+08,748900,4.34E+08,2.13E+06
12000,4.41E+08,748900,4.41E+08,2.16E+06
12100,4.47E+08,748900,4.47E+08,2.19E+06
12200,4.53E+08,748900,4.53E+08,2.22E+06
12300,4.60E+08,748900,4.60E+08,2.25E+06
12400,4.67E+08,748900,4.67E+08,2.29E+06
12500,4.74E+08,748900,4.74E+08,2.32E+06
12600,4.80E+08,748900,4.80E+08,2.35E+06
12700,4.86E+08,748900,4.86E+08,2.38E+06
12800,4.91E+08,748900,4.91E+08,2.41E+06
12900,4.98E+08,748900,4.98E+08,2.44E+06
13000,5.04E+08,748900,5.04E+08,2.47E+06
13100,5.10E+08,748900,5.10E+08,2.50E+06
13200,5.16E+08,748900,5.16E+08,2.53E+06
13300,5.23E+08,748900,5.23E+08,2.56E+06
13400,5.29E+08,748900,5.29E+08,2.59E+06
13500,5.36E+08,748900,5.36E+08,2.62E+06
13600,5.42E+08,748900,5.42E+08,2.65E+06
13700,5.47E+08,748900,5.47E+08,2.68E+06
13800,5.53E+08,748900,5.53E+08,2.70E+06
13900,5.58E+08,748900,5.58E+08,2.73E+06
14000,5.63E+08,748900,5.63E+08,2.75E+06
14100,5.69E+08,748900,5.69E+08,2.78E+06
14200,5.74E+08,748900,5.74E+08,2.81E+06
14300,5.79E+08,748900,5.79E+08,2.83E+06
14400,5.84E+08,748900,5.84E+08,2.86E+06
14500,5.89E+08,748900,5.89E+08,2.88E+06
14600,5.94E+08,748900,5.94E+08,2.91E+06
14700,5.99E+08,748900,5.99E+08,2.94E+06
14800,6.04E+08,748900,6.04E+08,2.96E+06
14900,6.09E+08,748900,6.09E+08,2.99E+06
15000,6.13E+08,748900,6.13E+08,3.01E+06
15100,6.18E+08,748900,6.18E+08,3.03E+06
15200,6.22E+08,748900,6.22E+08,3.05E+06
15300,6.26E+08,748900,6.26E+08,3.07E+06
15400,6.30E+08,748900,6.30E+08,3.09E+06
15500,6.34E+08,748900,6.34E+08,3.10E+06
15600,6.38E+08,748900,6.38E+08,3.12E+06
15700,6.42E+08,748900,6.42E+08,3.15E+06
15800,6.48E+08,748900,6.48E+08,3.17E+06
15900,6.53E+08,748900,6.53E+08,3.19E+06
16000,6.57E+08,748900,6.57E+08,3.22E+06
16100,6.62E+08,748900,6.62E+08,3.24E+06
16200,6.67E+08,748900,6.67E+08,3.26E+06
16300,6.72E+08,748900,6.72E+08,3.29E+06
16400,6.77E+08,748900,6.77E+08,3.31E+06
16500,6.82E+08,748900,6.82E+08,3.33E+06
16600,6.87E+08,748900,6.87E+08,3.36E+06
16700,6.92E+08,748900,6.92E+08,3.38E+06
16800,6.96E+08,748900,6.96E+08,3.40E+06
16900,7.00E+08,748900,7.00E+08,3.42E+06
17000,7.05E+08,748900,7.05E+08,3.44E+06
17100,7.09E+08,748900,7.09E+08,3.46E+06
17200,7.13E+08,748900,7.13E+08,3.48E+06
17300,7.18E+08,748900,7.18E+08,3.50E+06
17400,7.23E+08,748900,7.23E+08,3.52E+06
17500,7.28E+08,748900,7.28E+08,3.54E+06
17600,7.33E+08,748900,7.33E+08,3.57E+06
17700,7.38E+08,748900,7.38E+08,3.59E+06
17800,7.44E+08,748900,7.44E+08,3.62E+06
17900,7.49E+08,748900,7.49E+08,3.65E+06
18000,7.54E+08,748900,7.54E+08,3.67E+06
18100,7.59E+08,748900,7.59E+08,3.70E+06
18200,7.64E+08,748900,7.64E+08,3.72E+06
18300,7.69E+08,748900,7.69E+08,3.74E+06
18400,7.74E+08,748900,7.74E+08,3.77E+06
18500,7.79E+08,748900,7.79E+08,3.79E+06
18600,7.83E+08,748900,7.83E+08,3.81E+06
18700,7.88E+08,748900,7.88E+08,3.83E+06
18800,7.92E+08,748900,7.92E+08,3.85E+06
18900,7.97E+08,748900,7.97E+08,3.88E+06
19000,8.02E+08,748900,8.02E+08,3.90E+06
19100,8.06E+08,748900,8.06E+08,3.92E+06
19200,8.11E+08,748900,8.11E+08,3.94E+06
19300,8.16E+08,748900,8.16E+08,3.97E+06
19400,8.21E+08,748900,8.21E+08,3.99E+06
19500,8.26E+08,748900,8.26E+08,4.02E+06
19600,8.30E+08,748900,8.30E+08,4.03E+06
19700,8.34E+08,748900,8.34E+08,4.05E+06
19800,8.38E+08,748900,8.38E+08,4.07E+06
19900,8.41E+08,748900,8.41E+08,4.09E+06
20000,8.45E+08,748900,8.45E+08,4.11E+06
20100,8.49E+08,748900,8.49E+08,4.12E+06
20200,8.54E+08,748900,8.54E+08,4.14E+06
20300,8.57E+08,748900,8.57E+08,4.16E+06
20400,8.61E+08,748900,8.61E+08,4.18E+06
20500,8.66E+08,748900,8.66E+08,4.20E+06
20600,8.70E+08,748900,8.70E+08,4.22E+06
20700,8.73E+08,748900,8.73E+08,4.24E+06
20800,8.76E+08,748900,8.76E+08,4.26E+06
20900,8.80E+08,748900,8.80E+08,4.27E+06
21000,8.83E+08,748900,8.83E+08,4.29E+06
21100,8.87E+08,748900,8.87E+08,4.31E+06
21200,8.90E+08,748900,8.90E+08,4.32E+06
21300,8.94E+08,748900,8.94E+08,4.34E+06
21400,8.98E+08,748900,8.98E+08,4.36E+06
21500,9.02E+08,748900,9.02E+08,4.38E+06
21600,9.06E+08,748900,9.06E+08,4.40E+06
21700,9.10E+08,748900,9.10E+08,4.43E+06
21800,9.15E+08,748900,9.15E+08,4.45E+06
21900,9.19E+08,748900,9.19E+08,4.47E+06
22000,9.23E+08,748900,9.23E+08,4.49E+06
22100,9.28E+08,748900,9.28E+08,4.51E+06
22200,9.32E+08,748900,9.32E+08,4.53E+06
22300,9.37E+08,748900,9.37E+08,4.56E+06
22400,9.42E+08,748900,9.42E+08,4.57E+06
22500,9.46E+08,748900,9.46E+08,4.60E+06
22600,9.51E+08,748900,9.51E+08,4.62E+06
22700,9.56E+08,748900,9.56E+08,4.64E+06
22800,9.60E+08,748900,9.60E+08,4.67E+06
22900,9.65E+08,748900,9.65E+08,4.69E+06
23000,9.69E+08,748900,9.69E+08,4.71E+06
23100,9.74E+08,748900,9.74E+08,4.74E+06
23200,9.79E+08,748900,9.79E+08,4.76E+06
23300,9.84E+08,748900,9.84E+08,4.78E+06
23400,9.88E+08,748900,9.88E+08,4.81E+06
23500,9.94E+08,748900,9.94E+08,4.83E+06
23600,9.98E+08,748900,9.98E+08,4.85E+06
23700,1.00E+09,748900,1.00E+09,4.87E+06
23800,1.01E+09,748900,1.01E+09,4.89E+06
23900,1.01E+09,748900,1.01E+09,4.92E+06
24000,1.02E+09,748900,1.02E+09,4.94E+06
24100,1.02E+09,748900,1.02E+09,4.96E+06
24200,1.03E+09,748900,1.03E+09,4.98E+06
24300,1.03E+09,748900,1.03E+09,5.00E+06
24400,1.03E+09,748900,1.03E+09,5.03E+06
24500,1.04E+09,748900,1.04E+09,5.05E+06
24600,1.05E+09,748900,1.05E+09,5.08E+06
24700,1.05E+09,748900,1.05E+09,5.11E+06
24800,1.06E+09,748900,1.06E+09,5.13E+06
24900,1.06E+09,748900,1.06E+09,5.16E+06
25000,1.07E+09,748900,1.07E+09,5.18E+06
25100,1.07E+09,748900,1.07E+09,5.20E+06
25200,1.08E+09,748900,1.08E+09,5.23E+06
25300,1.08E+09,748900,1.08E+09,5.25E+06
25400,1.09E+09,748900,1.09E+09,5.27E+06
25500,1.09E+09,748900,1.09E+09,5.30E+06
25600,1.10E+09,748900,1.10E+09,5.32E+06
25700,1.10E+09,748900,1.10E+09,5.35E+06
25800,1.11E+09,748900,1.11E+09,5.37E+06
25900,1.11E+09,748900,1.11E+09,5.40E+06
26000,1.12E+09,748900,1.12E+09,5.42E+06
26100,1.12E+09,748900,1.12E+09,5.44E+06
26200,1.12E+09,748900,1.12E+09,5.46E+06
